timestamp_ms,open,high,low,close,volume
1642593600000,2751.2,2786.8,2741.8,2757.9,624.73565159
1642608000000,2756.2,2785,2718.2,2758.5,559.77470112
1642622400000,2756.7,2768.3,2720.1,2720.1,484.06428026
1642636800000,2723,2758.9,2721.4,2757.3,126.9688761
1642651200000,2758.8,2777.5,2748.5,2765.4,176.18467075
1642665600000,2765.9,2780.5,2747.5,2780,327.11136426
1642680000000,2780,2880,2758.9,2874.4,1032.00528238
1642694400000,2876.9,2886.4,2832.3,2841.6,967.93361744
1642708800000,2841.8,2846.4,2645,2654.1,1573.76521552
1642723200000,2656.4,2686.8,2484,2504.4,1934.20560922
1642737600000,2510.6,2559.7,2503.2,2548,1535.76961649
1642752000000,2547.9,2560.9,2500.3,2513,1459.34162474
1642766400000,2512.7,2518,2400,2498.6,3380.74267786
1642780800000,2496.8,2521.4,2416.1,2418.2,1623.58301486
1642795200000,2419.7,2439.1,2175.5,2265.3,4850.23789342
1642809600000,2265.3,2319.9,2244.8,2265.5,856.02836145
1642824000000,2266.8,2275.2,2131.2,2174.5,2172.58291467
1642838400000,2170.3,2208,2017.4,2149,5247.01566648
1642852800000,2147.5,2228,2100.9,2105.8,2672.36983258
1642867200000,2108.9,2176.8,2049.6,2063.1,2119.95261686
1642881600000,2068.8,2180,2048.1,2130.9,2263.78332511
1642896000000,2130.3,2172.6,2106.8,2135.9,632.36933878
1642910400000,2137.2,2213.3,2129.3,2198.4,887.92826574
1642924800000,2199.2,2256.8,2188.5,2210,2846.23701349
1642939200000,2210.6,2223.4,2123.9,2150.4,1461.82054075
1642953600000,2147.8,2168.5,2095.5,2105,1438.85132045
1642968000000,2106.9,2247.2,2093.5,2241.2,1549.1617351
1642982400000,2243.6,2243.6,2150,2176,456.43780705
1642996800000,2175.2,2182.9,2103.2,2109.3,666.04101149
1643011200000,2109.4,2167.4,1941.2,1979.4,5000.10074241
1643025600000,1982,2024.9,1911.1,2013.5,3945.55955734
1643040000000,2015.5,2132.5,1956.2,2107.9,3979.8512606
1643054400000,2107.2,2195.8,2093.4,2159.2,2611.86964932
1643068800000,2157.3,2159.3,2103,2136.2,339.39968842
1643083200000,2140,2141.8,2077.7,2112,767.22416923
1643097600000,2111.9,2176.6,2101,2155.3,1655.07534254
1643112000000,2155.3,2194.2,2097.1,2146.4,2039.19703566
1643126400000,2150.2,2224.7,2142.1,2185,1796.29908131
1643140800000,2184.9,2190.3,2128.8,2177.9,1393.52635782
1643155200000,2179,2200,2140,2194.5,229.3974056
1643169600000,2193,2215.5,2166.1,2186,693.39048773
1643184000000,2185,2264.2,2182.7,2262.6,1647.5064368
1643198400000,2263.9,2365,2244.7,2311.2,2807.78762988
1643212800000,2311.3,2429.4,2260,2289.3,4976.94849142
1643227200000,2291.2,2291.2,2135,2189.8,3514.53092798
1643241600000,2194,2223.3,2100,2110,739.15381895
1643256000000,2108.1,2161.3,2107.2,2147.5,787.67809663
1643270400000,2149.8,2205.2,2131,2204,1206.20169832
1643284800000,2204.5,2264.1,2190.4,2225,1336.09741111
1643299200000,2229.2,2239.9,2145.1,2152.7,1266.43740442
1643313600000,2151.7,2183.9,2078,2178.3,2207.99087108
1643328000000,2176.5,2199.9,2122.3,2197.8,438.06703931
1643342400000,2198.5,2222.2,2146.4,2146.4,630.4674113
1643356800000,2147.3,2178,2132.8,2153.2,774.38433831
1643371200000,2154.9,2197.5,2120,2188.9,1241.53248544
1643385600000,2189.8,2233.3,2180,2210.7,1140.403032
1643400000000,2208.4,2297.4,2207.8,2283.8,1892.59159127
1643414400000,2286.4,2318,2265.2,2283.8,326.30104403
1643428800000,2286.5,2312.7,2268.2,2309.8,535.18684448
1643443200000,2310.5,2319.5,2280.2,2298.5,942.45632874
1643457600000,2298.5,2345.5,2265.6,2284.9,1452.5257197
1643472000000,2286.5,2340,2269.8,2326.4,999.03217244
1643486400000,2329.1,2369.6,2318.1,2339.1,767.24940946
1643500800000,2339.1,2351.9,2305,2312.3,333.99044932
1643515200000,2314.8,2365.5,2308.9,2353.1,358.8773964
1643529600000,2355.7,2369,2334.8,2360.5,636.59587228
1643544000000,2361.8,2370.5,2321.8,2352.6,669.67099958
1643558400000,2351.6,2359.6,2290.8,2301.5,1312.85950445
1643572800000,2298,2359.8,2281.4,2335.1,1041.77807361
1643587200000,2336.8,2339.3,2232.9,2254.6,391.92444629
1643601600000,2252.1,2269.8,2221.1,2265.6,749.83908778
1643616000000,2268.4,2303.5,2258.6,2296.5,711.29419909
1643630400000,2295.9,2354.7,2259.4,2336.5,1085.01265536
1643644800000,2338.1,2410,2334.6,2378.4,1989.86805711
1643659200000,2380.8,2409,2369.1,2395.5,706.35195178
1643673600000,2396,2455,2381.6,2449.8,397.51214008
1643688000000,2450.3,2465.5,2419.4,2431.8,684.44970461
1643702400000,2430.5,2488,2416.1,2455,1675.93321775
1643716800000,2453.2,2496.1,2426.7,2465.9,1866.74357447
1643731200000,2465,2504.9,2447.8,2450.9,1541.54482302
1643745600000,2448,2491.3,2448,2476.7,744.88678543
1643760000000,2477.2,2488.7,2435.9,2470.8,222.25226092
1643774400000,2464.6,2469.8,2436.5,2438.5,392.32845654
1643788800000,2440.1,2464.2,2433.9,2447.9,558.53765276
1643803200000,2448,2488,2350,2361.6,1870.22477243
1643817600000,2358.2,2409.7,2333.2,2398.9,2284.19044089
1643832000000,2398.9,2428.6,2311,2372.9,1506.20149193
1643846400000,2376,2413.4,2350,2351.4,151.976782
1643860800000,2348.7,2373.2,2338.4,2366.8,274.50112852
1643875200000,2368.5,2380,2285.5,2323.4,1287.89513638
1643889600000,2326.4,2329,2282.3,2312.5,1065.30119529
1643904000000,2313.4,2328.3,2268.9,2275.9,591.11057594
1643918400000,2274.9,2363.6,2253.3,2355.4,1048.36991377
1643932800000,2359.5,2359.8,2336.5,2344,114.42444876
1643947200000,2343.1,2456.8,2337.5,2446.1,790.87264979
1643961600000,2450,2502.3,2450,2466.9,1177.59811548
1643976000000,2466.8,2559.8,2415.2,2508.9,2529.0074564
1643990400000,2510,2593.9,2507.4,2585,2376.90991585
1644004800000,2584.2,2620,2558.4,2617.9,1181.74635744
1644019200000,2618.5,2635,2584.4,2618.1,456.83713088
1644033600000,2621,2655,2612.6,2622.7,733.25302528
1644048000000,2622.3,2655,2612.9,2636.5,912.88285928
1644062400000,2633.3,2678.9,2623,2671.2,761.2416986
1644076800000,2671.1,2675.9,2584,2632.9,1506.2597206
1644091200000,2633.6,2652.4,2616.3,2637.4,482.21342527
1644105600000,2635.9,2652.4,2631.4,2632.7,90.01758738
1644120000000,2635.2,2643.2,2615.4,2634.9,142.39307165
1644134400000,2633.9,2645,2619.7,2628.6,462.31978407
1644148800000,2631.8,2661.8,2581,2614.9,951.58613229
1644163200000,2616.3,2635.8,2604.2,2626.4,560.06592024
1644177600000,2626.4,2686.9,2603.3,2667.7,743.74525817
1644192000000,2668.1,2692.1,2616.5,2691.5,380.83130165
1644206400000,2689.1,2724.5,2673.2,2699.2,1296.82900684
1644220800000,2699,2704.1,2671.5,2685.4,1396.46746884
1644235200000,2685.4,2740,2672.5,2734.7,1378.31744413
1644249600000,2732.3,2793.5,2717.9,2772.9,1935.00583562
1644264000000,2770.5,2788.5,2736.9,2746.8,988.36731286
1644278400000,2748.7,2764.1,2725,2758.3,170.25052535
1644292800000,2757.6,2833,2751.7,2789.1,1225.98277768
1644307200000,2790.6,2794.3,2698.6,2720,1586.60136267
1644321600000,2720,2722.5,2656.1,2695.5,1500.00058494
1644336000000,2697.6,2704.9,2651.4,2677.4,1011.55008953
1644350400000,2676.1,2749,2670.6,2730.3,987.80564913
1644364800000,2731.5,2746.4,2683.4,2695.9,215.15513433
1644379200000,2694.4,2735.1,2677.4,2728.6,303.8632912
1644393600000,2727.8,2766.4,2691.3,2764.1,764.49325707
1644408000000,2763.8,2817.4,2750,2784.5,1340.37683932
1644422400000,2786.9,2854.4,2772.1,2842.7,1224.77810097
1644436800000,2843,2867,2794.1,2841.9,944.36680261
1644451200000,2844,2847.2,2778.8,2787.3,317.26100413
1644465600000,2787.4,2800,2765.6,2794.6,458.59665035
1644480000000,2792.7,2872.5,2788.5,2845.3,873.5899494
1644494400000,2845.1,2855.9,2708.1,2799.8,3087.45056887
1644508800000,2802.2,2829.8,2722.6,2728.5,1267.43949852
1644523200000,2724.8,2747.8,2683,2692.5,984.05988788
1644537600000,2696.8,2720.1,2637.7,2708.9,589.81379012
1644552000000,2708,2730.9,2675.6,2723.5,363.0957874
1644566400000,2724.5,2739.5,2690.1,2714.9,473.2064836
1644580800000,2711.5,2760.4,2704.2,2720.9,667.28460618
1644595200000,2724.1,2732.4,2612.5,2644.7,1496.24153415
1644609600000,2642.7,2650.1,2531.4,2577,2303.99696885
1644624000000,2580.8,2612.1,2565,2593.4,291.98092793
1644638400000,2592,2604.9,2544.2,2573.8,504.69420518
1644652800000,2577.4,2598.2,2538,2587,899.70938528
1644667200000,2587,2590.9,2517.5,2540.1,832.55181285
1644681600000,2536.7,2629.9,2524.1,2601.6,948.53022202
1644696000000,2604.6,2634.9,2529,2572.6,697.0762982
1644710400000,2576.1,2599.1,2557.2,2576,69.15882072
1644724800000,2581.2,2584.7,2561.4,2581.6,165.23106329
1644739200000,2579,2602.7,2567.3,2589.1,444.18318991
1644753600000,2589.1,2607.2,2570.1,2576,306.40737786
1644768000000,2575.5,2577.7,2498.7,2517,1303.63025258
1644782400000,2519.8,2567,2510.7,2524.5,393.97707115
1644796800000,2529.6,2545.1,2495,2526.5,147.3039441
1644811200000,2527.8,2544.3,2505.4,2544,221.81244809
1644825600000,2544.3,2551,2517.7,2543.4,521.96062388
1644840000000,2544.3,2625.7,2527.4,2597.4,980.78624835
1644854400000,2598.2,2625.9,2532.8,2553.1,824.48320199
1644868800000,2554,2610.2,2538.7,2594.4,536.49001258
1644883200000,2592.9,2684.4,2574.2,2676.1,271.38422052
1644897600000,2677.3,2707.5,2658,2698.6,725.24781878
1644912000000,2699.7,2750.4,2688.3,2729.8,1444.57422764
1644926400000,2731.7,2774.9,2723.1,2752.6,993.97615801
1644940800000,2755.1,2762.1,2717.4,2736.6,663.27758523
1644955200000,2738.7,2814.9,2723.2,2807.2,651.79158246
1644969600000,2807.4,2807.4,2760.5,2771.7,228.97740906
1644984000000,2769.1,2773.2,2737.7,2771.1,284.09777687
1644998400000,2771.6,2781.2,2736.4,2756.3,616.34012087
1645012800000,2757.8,2764.7,2684.6,2700.8,1099.86146928
1645027200000,2702.4,2802.9,2680.1,2782.8,1081.32853932
1645041600000,2785,2793.8,2741.6,2741.6,710.04904598
1645056000000,2747.3,2780.4,2721.7,2722.6,71.28479278
1645070400000,2722.3,2739.6,2694,2735.5,475.01076473
1645084800000,2735.8,2757.3,2674.4,2698.2,957.20435396
1645099200000,2696,2719.7,2610,2632.4,1156.04580843
1645113600000,2626.9,2648,2535.2,2560.4,1679.63543282
1645128000000,2562.6,2568.3,2509.4,2547.9,1460.4623168
1645142400000,2547.9,2571.6,2522.2,2562.1,165.05404173
1645156800000,2562,2569.9,2532.7,2558.1,371.11009405
1645171200000,2558.7,2593.3,2527.5,2536.9,892.54795258
1645185600000,2537.2,2564.9,2461.1,2472.3,1197.73073188
1645200000000,2466.7,2496,2429.9,2470.1,1240.48860749
1645214400000,2472.8,2479.8,2432.8,2454.7,472.0867855
1645228800000,2456.5,2501.7,2444.5,2480.9,141.72893308
1645243200000,2487.2,2500,2472.5,2486,165.71410858
1645257600000,2486.8,2495.2,2392.9,2406.8,876.96924347
1645272000000,2406.8,2432.3,2380.7,2428.2,680.87553668
1645286400000,2426.7,2473.6,2419.6,2422.7,455.67776521
1645300800000,2422.7,2445.6,2409.1,2442.3,281.56829979
1645315200000,2442.7,2442.7,2383.3,2392.3,122.2332749
1645329600000,2397.7,2399.6,2316.8,2344.1,940.25295334
1645344000000,2343.4,2343.4,2292.4,2333,1624.76462407
1645358400000,2332.9,2353.6,2296,2343.9,672.69499313
1645372800000,2337.9,2362.3,2325.3,2338.6,513.61014819
1645387200000,2340.5,2353.8,2274.5,2317.4,1036.28794141
1645401600000,2317.4,2412.6,2303.2,2389.5,416.13565091
1645416000000,2390.8,2428.1,2389.3,2418.3,1094.83754302
1645430400000,2417.6,2426,2295.6,2314.6,1119.67821127
1645444800000,2314.4,2429,2275.9,2401.8,1758.17330124
1645459200000,2403.6,2421,2300.6,2346.1,1760.62478797
1645473600000,2347,2365,2262,2272.7,2003.39797433
1645488000000,2271.6,2315.4,2222,2227.1,746.69200157
1645502400000,2232.8,2254,2211.5,2226.4,1172.28203531
1645516800000,2226.7,2299.7,2224.2,2284.1,1377.37565165
1645531200000,2282.7,2356.5,2264.4,2310.6,1373.96050143
1645545600000,2313.9,2331,2278.7,2325,811.54438944
1645560000000,2324.9,2344,2287,2328.4,697.57665955
1645574400000,2330.8,2345.7,2300,2320.4,157.79591752
1645588800000,2317.3,2382.2,2317.3,2379.6,739.97903417
1645603200000,2382.3,2416,2368.6,2399.2,1171.62646391
1645617600000,2401.9,2430,2370.9,2376.2,1125.83627152
1645632000000,2375,2415.5,2317.4,2331.9,1456.86415387
1645646400000,2330.5,2336.3,2279,2282.4,962.94244338
1645660800000,2283.5,2295.1,2126,2134.2,1076.97365573
1645675200000,2134,2148.7,2043.4,2107.8,5052.55095431
1645689600000,2107.8,2156.6,2081.9,2142.2,3539.11318865
1645704000000,2143.8,2228,2103.2,2212.6,3267.90146648
