timestamp_ms,open,high,low,close,volume
1724412600000,54761,54771,54657,54696,3.51901195
1724413500000,54707,54716,54600,54640,10.77794617
1724414400000,54638,54753,54638,54693,2.10811709
1724415300000,54690,54793,54690,54771,2.16915222
1724416200000,54774,54884,54767,54868,1.98953543
1724417100000,54863,55100,54844,55029,8.75675113
1724418000000,55036,55055,54907,54943,3.38182855
1724418900000,54935,55039,54915,54996,2.21995055
1724419800000,55000,55080,54824,54892,4.84720971
1724420700000,54900,55036,54866,54977,2.93937668
1724421600000,55025,55635,55025,55618,58.87799097
1724422500000,55621,55825,55071,55379,46.31125667
1724423400000,55388,55493,55084,55182,9.50318659
1724424300000,55201,55201,54430,54621,39.60159555
1724425200000,54608,54937,54566,54818,14.81302537
1724426100000,54823,54945,54790,54903,7.41401141
1724427000000,54910,55228,54882,55117,8.74492653
1724427900000,55119,55152,55015,55082,4.24057741
1724428800000,55077,55163,54899,55070,4.13273612
1724429700000,55059,55149,54980,55078,3.6912321
1724430600000,55061,55337,55033,55172,10.32920374
1724431500000,55218,55312,55083,55267,3.08332603
1724432400000,55266,55304,55118,55188,4.07287852
1724433300000,55212,55393,55203,55255,7.03450866
1724434200000,55232,55649,55184,55621,10.66673566
1724435100000,55638,56324,55595,56310,69.01898937
1724436000000,56296,56562,55970,56255,40.74198484
1724436900000,56243,56619,56242,56394,21.01666188
1724437800000,56401,56650,56282,56538,20.8526091
1724438700000,56502,56698,56441,56464,12.52323509
1724439600000,56459,56785,56330,56737,20.24906601
1724440500000,56734,57062,56677,56923,28.98733887
1724441400000,56910,56970,56759,56881,19.53275421
1724442300000,56882,57000,56735,56851,11.96389892
1724443200000,56847,56982,56806,56957,10.63819861
1724444100000,56967,57023,56838,56913,7.48179506
1724445000000,56912,56913,56724,56854,18.75891021
1724445900000,56854,56889,56770,56856,15.98635929
1724446800000,56846,56949,56814,56878,17.17859655
1724447700000,56871,57704,56871,57394,44.12116652
1724448600000,57419,57634,57399,57448,13.44317712
1724449500000,57468,57546,57350,57505,9.5287144
1724450400000,57523,57606,57402,57441,8.17401663
1724451300000,57441,57720,57374,57679,13.13310291
1724452200000,57662,57967,57581,57605,9.39272672
1724453100000,57608,57608,57000,57165,8.9502064
1724454000000,57166,57306,57115,57222,5.96810489
1724454900000,57223,57373,57135,57189,11.17404298
1724455800000,57201,57217,57152,57192,2.38396839
1724456700000,57199,57225,57000,57149,3.2660064
1724457600000,57191,57325,57078,57114,1.86850365
1724458500000,57098,57150,56969,57005,3.87664303
1724459400000,57044,57145,56946,57064,1.87424249
1724460300000,57042,57200,57035,57059,0.26170919
1724461200000,57066,57089,56931,56976,0.45198553
1724462100000,56980,56980,56827,56881,2.87328955
1724463000000,56872,56906,56741,56741,3.52362159
1724463900000,56750,56949,56740,56899,1.13106013
1724464800000,56887,57000,56887,57000,0.74863148
1724465700000,57015,57087,56968,56987,0.46027085
1724466600000,56969,56987,56939,56983,0.1388871
1724467500000,57044,57048,56962,57047,1.06025577
1724468400000,57004,57066,56999,57025,0.70238393
1724469300000,56993,57016,56916,56918,0.62837964
1724470200000,56961,57012,56849,56867,7.5826126
1724471100000,56876,56916,56829,56882,3.30079846
1724472000000,56916,57006,56893,56996,0.26611289
1724472900000,56996,57005,56937,56954,0.55583371
1724473800000,56962,57007,56918,56989,0.96542252
1724474700000,56987,56995,56934,56934,0.83862592
1724475600000,56945,57000,56911,56965,0.83846219
1724476500000,56967,57080,56949,57023,3.51867756
1724477400000,57027,57064,56945,57015,3.02665424
1724478300000,57024,57062,56970,57047,3.17327059
1724479200000,57002,57044,56983,56990,2.73283354
1724480100000,56990,57057,56968,56989,1.82495189
1724481000000,56987,57298,56966,57241,7.53318863
1724481900000,57239,57240,57101,57101,4.54948808
1724482800000,57122,57257,57103,57240,4.23293381
1724483700000,57240,57280,57187,57257,8.60477769
1724484600000,57263,57352,57221,57350,5.73857633
1724485500000,57326,57400,57258,57385,4.70523882
1724486400000,57385,57392,57236,57252,5.91158173
1724487300000,57250,57303,57228,57249,1.5773987
1724488200000,57228,57348,57224,57330,1.86016669
1724489100000,57327,57500,57304,57464,7.12480308
1724490000000,57496,57561,57345,57378,8.77928778
1724490900000,57357,57458,57329,57429,1.84409069
1724491800000,57433,57460,57361,57387,2.4213416
1724492700000,57387,57497,57343,57456,4.02462776
1724493600000,57456,57499,57377,57392,2.86586877
1724494500000,57402,57468,57391,57431,4.85449971
1724495400000,57429,57440,57344,57412,3.28582875
1724496300000,57412,57419,57253,57291,5.62726533
1724497200000,57291,57342,57262,57336,2.90567253
1724498100000,57336,57337,57243,57264,1.55397558
1724499000000,57264,57336,57159,57159,6.42036184
1724499900000,57162,57237,57078,57080,4.50461518
1724500800000,57093,57273,57080,57216,6.98531409
1724501700000,57207,57327,57180,57310,2.11176576
1724502600000,57289,57306,57231,57300,1.08415612
1724503500000,57300,57309,57182,57211,3.33630266
1724504400000,57208,57293,57134,57273,6.4487567
1724505300000,57273,57338,57231,57300,1.99341898
1724506200000,57300,57379,57253,57260,5.8085217
1724507100000,57312,57365,57219,57365,1.64957509
1724508000000,57360,57360,57269,57276,1.76888246
1724508900000,57261,57368,57227,57351,5.68685141
1724509800000,57331,57331,57273,57283,2.22887022
1724510700000,57284,57324,57262,57321,1.21112645
1724511600000,57321,57321,57198,57219,5.74904453
1724512500000,57219,57278,57141,57164,4.61891331
1724513400000,57147,57212,57001,57107,2.25970839
1724514300000,57084,57145,57078,57133,1.23864694
1724515200000,57126,57252,57112,57173,1.86215886
1724516100000,57165,57472,57139,57438,3.73430058
1724517000000,57426,57544,57296,57336,4.12167136
1724517900000,57294,57422,57254,57399,1.83673613
1724518800000,57399,57409,57286,57351,2.56155743
1724519700000,57348,57399,57200,57226,2.53556594
1724520600000,57214,57328,57200,57248,2.45461169
1724521500000,57243,57304,57095,57192,3.76494678
1724522400000,57187,57202,57080,57116,3.54814948
1724523300000,57078,57468,57078,57452,7.67478606
1724524200000,57458,57476,57196,57280,2.62452774
1724525100000,57266,57345,57252,57312,1.3144276
